"Spidermonkey -- tested individually"


"Test a*emaila*"
"Size of Input:";"20488";"40968";"81928";"163848";"327688";"655368";"1310728";"2621448";"5242888";"10485768";"20971528";
"Mean time:";"0.11500000000000002";"0.22750000000000004";"0.465";"0.9499999999999996";"1.9074999999999993";"3.8099999999999987";"7.555";"15.26";"30.702500000000004";"61.567499999999995";"122.92000000000003";
"Vari time:";"-0.012100000000000005";"-0.049756250000000016";"-0.20822500000000002";"-0.8524999999999993";"-3.4580562499999976";"-13.812974999999991";"-54.190025";"-221.23947499999997";"-895.5190062500002";"-3601.136931249999";"-14352.876400000006";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test url validation"
"Size of Input:";"17416";"34824";"69640";"139272";"278536";"557064";"1114120";"2228232";"4456456";"8912904";"17825800";
"Mean time:";"0.06000000000000002";"0.11750000000000001";"0.24000000000000005";"0.47750000000000004";"0.9474999999999998";"1.9149999999999996";"3.7974999999999994";"7.6549999999999985";"15.344999999999999";"30.699999999999996";"61.34499999999999";
"Vari time:";"-0.003100000000000002";"-0.013306250000000002";"-0.05560000000000002";"-0.21788125000000003";"-0.8526312499999996";"-3.4867249999999985";"-13.699006249999996";"-55.634524999999975";"-223.76452499999996";"-895.5188749999998";"-3575.0178999999994";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";
